plant_id,category,requested_name,taxonomy_family,lifecycle,preferred_sun,water_group,support,permanent_bed,status,critical_note
FLW-005,Flower,Marigolds,Tagetes spp. / Asteraceae,Annual,Full sun,Moderate-low,None,No,PROVISIONAL,"Use in repeated edging masses, not random scattering."
FLW-006,Flower,Daisies,Species unresolved / Asteraceae,Depends,Sun varies,Varies,Varies,Unknown,PROVISIONAL,Must resolve exact daisy species/cultivar.
FLW-007,Flower,Purple coneflowers,Echinacea purpurea / Asteraceae,Perennial,Full sun-part sun,Low-moderate established,None,YES,PROVISIONAL,Strong pollinator/perennial backbone.
FLW-008,Flower,Black-eyed Susans,Rudbeckia spp. / Asteraceae,Perennial/biennial depending type,Full sun,Low-moderate,None,YES/likely,PROVISIONAL,Late-season color; exact type unresolved.
FLW-009,Flower,Cosmos,Cosmos bipinnatus etc. / Asteraceae,Annual,Full sun,Low-moderate,Tall types may stake,No,PROVISIONAL,Airy filler; can self-sow.
FLW-010,Flower,Impatiens,Impatiens spp. / Balsaminaceae,Annual,Part shade-shade,Moderate-high,None,No,PROVISIONAL,Separate from hot full-sun beds.
FLW-011,Flower,Morning glories,Ipomoea spp. / Convolvulaceae,Annual vine,Full sun,Moderate,Dedicated trellis,No,PROVISIONAL,Potentially aggressive self-seeding; species choice important.
FLW-012,Flower,Sweet peas,Lathyrus odoratus / Fabaceae,Annual vine,Full sun; cool season,Moderate,Trellis/netting,No,PROVISIONAL,Cool-season vine; timing differs from morning glory.
FLW-013,Flower,Snapdragons,Antirrhinum majus / Plantaginaceae,Cool-season annual/short-lived perennial,Full sun,Moderate,Tall types may stake,No,PROVISIONAL,Great spring/fall color and cutting.
FLW-014,Flower,Lupines,Lupinus spp. / Fabaceae,Perennial/annual depending type,Full sun,Moderate; drainage critical,None,Conditional,PROVISIONAL,Heat/humidity suitability must be cultivar-checked.
FLW-015,Flower,Geraniums,Pelargonium or Geranium spp.,Depends,Sun-part sun,Moderate,None,Conditional,PROVISIONAL,Resolve whether common annual Pelargonium or hardy cranesbill Geranium.
FLW-016,Flower,Daylilies,Hemerocallis spp. / Asphodelaceae,Perennial,Full sun-part sun,Moderate,None,YES,PROVISIONAL,Durable perennial structure plant.
SPEC-001,Special,Wildflower tub,Regional mix TBD,Mixed,Sun TBD,Establishment moisture; then species-dependent,Container,Dedicated,PROVISIONAL,Separate tub; region-appropriate mix only; screen invasive/problem species.
